Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
FBIN,FORTUNE BRANDS INNOVATIONS INC,Industrials,Equity,"2,026,505.81",0.01,"2,026,505.81","29,213.00",69.37,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
TRYG,TRYG,Financials,Equity,"2,016,502.25",0.01,"2,016,502.25","94,790.00",21.27,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,7.24,DKK,-
DVA,DAVITA INC,Health Care,Equity,"2,010,101.76",0.01,"2,010,101.76","13,056.00",153.96,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
3407,ASAHI KASEI CORP,Materials,Equity,"2,007,521.76",0.01,"2,007,521.76","295,700.00",6.79,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
WTRG,ESSENTIAL UTILITIES INC,Utilities,Equity,"2,008,090.00",0.01,"2,008,090.00","57,374.00",35.00,United States,New York Stock Exchange Inc.,USD,1.00,USD,-
ABG,ABSA GROUP LTD,Financials,Equity,"2,003,369.84",0.01,"2,003,369.84","192,876.00",10.39,South Africa,Johannesburg Stock Exchange,USD,18.90,ZAR,-
9021,WEST JAPAN RAILWAY,Industrials,Equity,"2,000,837.16",0.01,"2,000,837.16","116,100.00",17.23,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
TME,TENCENT MUSIC ENTERTAINMENT GROUP,Communication,Equity,"2,001,341.16",0.01,"2,001,341.16","183,273.00",10.92,China,New York Stock Exchange Inc.,USD,1.00,USD,-
SCCO,SOUTHERN COPPER CORP,Materials,Equity,"1,997,084.00",0.01,"1,997,084.00","20,890.00",95.60,Peru,New York Stock Exchange Inc.,USD,1.00,USD,-
8795,T&D HOLDINGS INC,Financials,Equity,"1,997,097.96",0.01,"1,997,097.96","110,100.00",18.14,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
LIFCO B,LIFCO CLASS B,Industrials,Equity,"1,994,004.79",0.01,"1,994,004.79","68,651.00",29.05,Sweden,Nasdaq Omx Nordic,USD,11.15,SEK,-
2379,REALTEK SEMICONDUCTOR CORP,Information Technology,Equity,"1,990,622.87",0.01,"1,990,622.87","124,000.00",16.05,Taiwan,Taiwan Stock Exchange,USD,32.95,TWD,-
GALP,GALP ENERGIA SGPS SA CLASS B,Energy,Equity,"1,988,268.63",0.01,"1,988,268.63","118,360.00",16.80,Portugal,Nyse Euronext - Euronext Lisbon,USD,0.97,EUR,-
9532,OSAKA GAS LTD,Utilities,Equity,"1,985,405.92",0.01,"1,985,405.92","94,900.00",20.92,Japan,Tokyo Stock Exchange,USD,157.98,JPY,-
